"created_by","created_at","updated_by","updated_at","active","version","category_name","category_code","category_id"
"liquibase",now(),"liquibase",now(),True,1,"Makanan Pokok","B-0001",1
"liquibase",now(),"liquibase",now(),True,1,"Makanan Instan","B-0002",1
"liquibase",now(),"liquibase",now(),True,1,"Camilan","B-0003",1
"liquibase",now(),"liquibase",now(),True,1,"Minuman Kaleng/Botol","B-0004",1
"liquibase",now(),"liquibase",now(),True,1,"Es Krim","B-0005",1
"liquibase",now(),"liquibase",now(),True,1,"Produk Susu","B-0006",1
"liquibase",now(),"liquibase",now(),True,1,"Roti","B-0007",1
"liquibase",now(),"liquibase",now(),True,1,"Saus","B-0008",1
"liquibase",now(),"liquibase",now(),True,1,"Sabun Mandi","B-0010","2"
"liquibase",now(),"liquibase",now(),True,1,"Sampo","B-0011","2"
"liquibase",now(),"liquibase",now(),True,1,"Pasta Gigi","B-0012","2"
"liquibase",now(),"liquibase",now(),True,1,"Tisu","B-0013","2"
"liquibase",now(),"liquibase",now(),True,1,"Pembersih Rumah","B-0014","2"
"liquibase",now(),"liquibase",now(),True,1,"Deterjen","B-0015","2"
"liquibase",now(),"liquibase",now(),True,1,"Sikat Gigi","B-0016","2"
"liquibase",now(),"liquibase",now(),True,1,"Perawatan Kulit","B-0017","3"
"liquibase",now(),"liquibase",now(),True,1,"Produk Perawatan Bayi","B-0018","3"
"liquibase",now(),"liquibase",now(),True,1,"Rokok","B-0019","4"